Time,BLOCCO1:CORRIDOIO:WINTER DESIGN DAY IN BUILDLAB (01-01:31-12):Des Heat Load [W],BLOCCO1:CORRIDOIO:SUMMER DESIGN DAY IN BUILDLAB (01-01:31-12) AGO:Des Sens Cool Load [W],BLOCCO1:CORRIDOIO:WINTER DESIGN DAY IN BUILDLAB (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:CORRIDOIO:SUMMER DESIGN DAY IN BUILDLAB (01-01:31-12) AGO:Des Cool Mass Flow [kg/s],BLOCCO1:ROOM407:WINTER DESIGN DAY IN BUILDLAB (01-01:31-12):Des Heat Load [W],BLOCCO1:ROOM407:SUMMER DESIGN DAY IN BUILDLAB (01-01:31-12) AGO:Des Sens Cool Load [W],BLOCCO1:ROOM407:WINTER DESIGN DAY IN BUILDLAB (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:ROOM407:SUMMER DESIGN DAY IN BUILDLAB (01-01:31-12) AGO:Des Cool Mass Flow [kg/s],BLOCCO1:ROOM408:WINTER DESIGN DAY IN BUILDLAB (01-01:31-12):Des Heat Load [W],BLOCCO1:ROOM408:SUMMER DESIGN DAY IN BUILDLAB (01-01:31-12) AGO:Des Sens Cool Load [W],BLOCCO1:ROOM408:WINTER DESIGN DAY IN BUILDLAB (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:ROOM408:SUMMER DESIGN DAY IN BUILDLAB (01-01:31-12) AGO:Des Cool Mass Flow [kg/s]
00:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
01:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:30:00,0.000000E+00,1.800522E+02,0.000000E+00,1.264391E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:00:00,0.000000E+00,3.534846E+02,0.000000E+00,2.573809E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:30:00,0.000000E+00,3.790889E+02,0.000000E+00,2.862792E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:00:00,0.000000E+00,3.840583E+02,0.000000E+00,2.900822E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:30:00,0.000000E+00,3.736995E+02,0.000000E+00,2.821911E-02,0.000000E+00,1.176747E+03,0.000000E+00,7.939868E-02,0.000000E+00,1.200907E+03,0.000000E+00,8.081058E-02
07:00:00,0.000000E+00,3.871045E+02,0.000000E+00,2.922523E-02,0.000000E+00,2.280605E+03,0.000000E+00,1.568143E-01,0.000000E+00,2.323931E+03,0.000000E+00,1.595705E-01
07:30:00,6.322491E+02,3.935787E+02,3.717525E-02,2.971683E-02,2.920324E+03,2.401667E+03,1.824399E-01,1.684811E-01,2.919325E+03,2.446032E+03,1.823781E-01,1.715930E-01
08:00:00,1.084070E+03,4.040349E+02,6.630357E-02,3.051045E-02,4.516244E+03,2.586146E+03,3.011563E-01,1.814590E-01,4.514655E+03,2.633921E+03,3.010506E-01,1.848099E-01
08:30:00,9.800415E+02,4.264332E+02,6.315824E-02,3.220349E-02,3.826151E+03,2.669170E+03,2.844915E-01,1.872504E-01,3.824894E+03,2.713813E+03,2.843980E-01,1.903803E-01
09:00:00,9.760173E+02,4.511215E+02,6.288830E-02,3.406984E-02,4.139126E+03,2.786404E+03,3.077315E-01,1.954511E-01,4.137850E+03,2.830531E+03,3.076365E-01,1.985448E-01
09:30:00,8.560786E+02,4.563399E+02,5.517228E-02,3.446613E-02,3.709009E+03,2.833100E+03,2.758090E-01,1.987410E-01,3.707816E+03,2.877460E+03,2.757201E-01,2.018519E-01
10:00:00,7.849904E+02,4.615168E+02,5.058676E-02,3.485869E-02,3.514766E+03,2.877138E+03,2.612903E-01,2.018496E-01,3.513583E+03,2.922223E+03,2.612024E-01,2.050118E-01
10:30:00,7.277480E+02,4.666661E+02,4.688860E-02,3.524863E-02,3.358783E+03,2.918704E+03,2.496079E-01,2.047746E-01,3.357657E+03,2.964831E+03,2.495243E-01,2.080100E-01
11:00:00,6.810144E+02,4.717730E+02,4.387424E-02,3.563482E-02,3.229323E+03,2.957804E+03,2.399610E-01,2.075182E-01,3.228265E+03,3.005061E+03,2.398825E-01,2.108328E-01
11:30:00,6.424259E+02,4.656814E+02,4.138831E-02,3.517483E-02,3.120203E+03,2.955393E+03,2.318567E-01,2.073475E-01,3.119145E+03,3.003763E+03,2.317781E-01,2.107401E-01
12:00:00,6.101125E+02,4.581861E+02,3.930679E-02,3.460821E-02,3.026529E+03,2.945853E+03,2.248997E-01,2.066753E-01,3.025483E+03,2.995200E+03,2.248220E-01,2.101365E-01
12:30:00,5.827091E+02,4.605033E+02,3.754096E-02,3.478241E-02,2.944807E+03,2.968795E+03,2.188250E-01,2.082799E-01,2.943774E+03,3.018900E+03,2.187483E-01,2.117943E-01
13:00:00,5.591825E+02,4.628698E+02,3.602466E-02,3.496056E-02,2.872518E+03,2.990167E+03,2.134499E-01,2.097739E-01,2.871499E+03,3.040711E+03,2.133742E-01,2.133190E-01
13:30:00,5.387240E+02,4.751499E+02,3.470612E-02,3.588769E-02,2.807801E+03,3.043825E+03,2.086384E-01,2.135345E-01,2.806794E+03,3.094406E+03,2.085636E-01,2.170820E-01
14:00:00,5.207499E+02,4.875047E+02,3.354777E-02,3.682118E-02,2.749306E+03,3.095538E+03,2.042903E-01,2.171627E-01,2.748310E+03,3.145705E+03,2.042163E-01,2.206810E-01
14:30:00,5.048163E+02,4.889926E+02,3.252095E-02,3.693441E-02,2.696007E+03,3.107113E+03,2.003287E-01,2.179791E-01,2.695021E+03,3.156359E+03,2.002554E-01,2.214328E-01
15:00:00,4.905765E+02,4.893017E+02,3.160330E-02,3.695844E-02,2.647108E+03,3.112556E+03,1.966940E-01,2.183662E-01,2.646130E+03,3.160382E+03,1.966214E-01,2.217204E-01
15:30:00,4.777590E+02,4.880995E+02,3.077729E-02,3.686805E-02,2.601986E+03,3.110626E+03,1.933401E-01,2.182341E-01,2.601017E+03,3.156551E+03,1.932681E-01,2.214549E-01
16:00:00,4.661489E+02,4.853398E+02,3.002909E-02,3.665965E-02,2.560151E+03,3.101293E+03,1.902305E-01,2.175798E-01,2.559189E+03,3.144920E+03,1.901591E-01,2.206394E-01
16:30:00,4.555746E+02,4.617415E+02,2.934763E-02,3.487705E-02,2.521208E+03,3.018974E+03,1.873360E-01,2.118036E-01,2.520253E+03,3.060014E+03,1.872651E-01,2.146818E-01
17:00:00,4.458978E+02,4.368373E+02,2.872401E-02,3.299491E-02,2.484836E+03,2.931794E+03,1.846326E-01,2.056829E-01,2.483887E+03,2.969986E+03,1.845621E-01,2.083613E-01
17:30:00,4.370058E+02,4.209301E+02,2.815096E-02,3.179187E-02,2.450769E+03,2.875521E+03,1.821006E-01,2.017257E-01,2.449826E+03,2.910854E+03,1.820305E-01,2.042035E-01
18:00:00,4.288060E+02,4.042777E+02,2.762251E-02,3.053261E-02,2.418786E+03,2.816866E+03,1.797234E-01,1.975990E-01,2.417848E+03,2.849647E+03,1.796537E-01,1.998977E-01
18:30:00,4.212215E+02,2.004538E+02,2.713370E-02,1.513857E-02,2.388698E+03,1.402527E+03,1.774870E-01,9.838195E-02,2.387765E+03,1.418327E+03,1.774177E-01,9.948987E-02
19:00:00,4.141879E+02,0.000000E+00,2.668038E-02,0.000000E+00,2.360342E+03,0.000000E+00,1.753795E-01,0.000000E+00,2.359414E+03,0.000000E+00,1.753105E-01,0.000000E+00
19:30:00,2.054008E+02,0.000000E+00,1.323106E-02,0.000000E+00,1.173290E+03,0.000000E+00,8.717825E-02,0.000000E+00,1.172827E+03,0.000000E+00,8.714386E-02,0.000000E+00
20:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
20:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
21:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
21:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
22:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
22:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
23:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
23:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
24:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
Peak,1.084070E+03,4.893017E+02,6.630357E-02,3.695844E-02,4.516244E+03,3.112556E+03,3.011563E-01,2.183662E-01,4.514655E+03,3.160382E+03,3.010506E-01,2.217204E-01

Peak Vol Flow (m3/s),,,5.696720E-02,3.175423E-02,,,2.587497E-01,1.876175E-01,,,2.586589E-01,1.904994E-01
