Time,BLOCCO1:CORRIDOIO:WINTER DESIGN DAY IN BUILDLAB (01-01:31-12):Des Heat Load [W],BLOCCO1:CORRIDOIO:SUMMER DESIGN DAY IN BUILDLAB (01-01:31-12) AGO:Des Sens Cool Load [W],BLOCCO1:CORRIDOIO:WINTER DESIGN DAY IN BUILDLAB (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:CORRIDOIO:SUMMER DESIGN DAY IN BUILDLAB (01-01:31-12) AGO:Des Cool Mass Flow [kg/s],BLOCCO1:ROOM407:WINTER DESIGN DAY IN BUILDLAB (01-01:31-12):Des Heat Load [W],BLOCCO1:ROOM407:SUMMER DESIGN DAY IN BUILDLAB (01-01:31-12) LUG:Des Sens Cool Load [W],BLOCCO1:ROOM407:WINTER DESIGN DAY IN BUILDLAB (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:ROOM407:SUMMER DESIGN DAY IN BUILDLAB (01-01:31-12) LUG:Des Cool Mass Flow [kg/s],BLOCCO1:ROOM408:WINTER DESIGN DAY IN BUILDLAB (01-01:31-12):Des Heat Load [W],BLOCCO1:ROOM408:SUMMER DESIGN DAY IN BUILDLAB (01-01:31-12) AGO:Des Sens Cool Load [W],BLOCCO1:ROOM408:WINTER DESIGN DAY IN BUILDLAB (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:ROOM408:SUMMER DESIGN DAY IN BUILDLAB (01-01:31-12) AGO:Des Cool Mass Flow [kg/s]
00:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
01:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:30:00,0.000000E+00,2.006566E+02,0.000000E+00,1.403444E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:00:00,0.000000E+00,3.968326E+02,0.000000E+00,2.884548E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:30:00,0.000000E+00,4.270086E+02,0.000000E+00,3.224674E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:00:00,0.000000E+00,4.308306E+02,0.000000E+00,3.254127E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:30:00,0.000000E+00,4.151745E+02,0.000000E+00,3.135052E-02,0.000000E+00,1.234295E+03,0.000000E+00,8.320314E-02,0.000000E+00,1.258311E+03,0.000000E+00,8.453517E-02
07:00:00,0.000000E+00,4.256110E+02,0.000000E+00,3.213151E-02,0.000000E+00,2.382465E+03,0.000000E+00,1.637128E-01,0.000000E+00,2.415557E+03,0.000000E+00,1.656857E-01
07:30:00,6.686181E+02,4.296304E+02,3.916506E-02,3.243841E-02,3.260926E+03,2.508261E+03,2.022743E-01,1.759298E-01,3.254700E+03,2.529647E+03,2.019107E-01,1.774445E-01
08:00:00,1.162584E+03,4.378275E+02,7.101078E-02,3.306212E-02,5.065652E+03,2.703939E+03,3.365251E-01,1.896953E-01,5.054933E+03,2.725242E+03,3.358273E-01,1.912086E-01
08:30:00,1.065222E+03,4.583717E+02,6.864838E-02,3.461529E-02,4.290113E+03,2.780559E+03,3.190007E-01,1.950414E-01,4.280461E+03,2.800588E+03,3.182828E-01,1.964615E-01
09:00:00,1.054343E+03,4.818331E+02,6.793684E-02,3.638909E-02,4.612940E+03,2.899875E+03,3.429882E-01,2.033916E-01,4.603212E+03,2.926507E+03,3.422644E-01,2.052732E-01
09:30:00,9.219667E+02,4.865165E+02,5.942077E-02,3.674512E-02,4.130445E+03,2.951170E+03,3.071774E-01,2.070053E-01,4.121570E+03,2.988490E+03,3.065169E-01,2.096388E-01
10:00:00,8.424368E+02,4.917571E+02,5.428948E-02,3.714266E-02,3.908000E+03,3.002454E+03,2.905325E-01,2.106223E-01,3.899588E+03,3.053628E+03,2.899069E-01,2.142296E-01
10:30:00,7.784365E+02,4.974714E+02,5.015465E-02,3.757540E-02,3.729869E+03,3.053222E+03,2.771860E-01,2.141927E-01,3.721811E+03,3.120748E+03,2.765872E-01,2.189475E-01
11:00:00,7.262500E+02,5.035580E+02,4.678889E-02,3.803563E-02,3.582661E+03,3.102540E+03,2.662183E-01,2.176530E-01,3.574887E+03,3.187764E+03,2.656406E-01,2.236492E-01
11:30:00,6.831991E+02,4.987700E+02,4.401562E-02,3.767413E-02,3.458944E+03,3.110585E+03,2.570305E-01,2.182158E-01,3.451241E+03,3.213990E+03,2.564581E-01,2.254873E-01
12:00:00,6.471774E+02,4.927924E+02,4.169517E-02,3.722216E-02,3.352902E+03,3.111271E+03,2.491540E-01,2.182613E-01,3.345342E+03,3.232494E+03,2.485922E-01,2.267823E-01
12:30:00,6.166526E+02,4.967471E+02,3.972816E-02,3.752002E-02,3.260584E+03,3.144153E+03,2.422908E-01,2.205629E-01,3.253332E+03,3.282335E+03,2.417520E-01,2.302732E-01
13:00:00,5.904660E+02,5.007844E+02,3.804043E-02,3.782431E-02,3.179122E+03,3.174831E+03,2.362333E-01,2.227089E-01,3.172057E+03,3.328392E+03,2.357084E-01,2.334978E-01
13:30:00,5.677114E+02,5.146955E+02,3.657393E-02,3.887457E-02,3.106377E+03,3.236790E+03,2.308250E-01,2.270510E-01,3.099452E+03,3.403393E+03,2.303105E-01,2.387545E-01
14:00:00,5.477337E+02,5.285661E+02,3.528648E-02,3.992252E-02,3.040790E+03,3.295524E+03,2.259497E-01,2.311709E-01,3.033982E+03,3.472259E+03,2.254439E-01,2.435851E-01
14:30:00,5.300350E+02,5.313687E+02,3.414595E-02,4.013508E-02,2.981175E+03,3.312232E+03,2.215184E-01,2.323471E-01,2.974470E+03,3.495671E+03,2.210203E-01,2.452315E-01
15:00:00,5.142268E+02,5.327240E+02,3.312724E-02,4.023821E-02,2.926612E+03,3.320725E+03,2.174627E-01,2.329486E-01,2.920000E+03,3.507149E+03,2.169714E-01,2.460422E-01
15:30:00,5.000049E+02,5.322453E+02,3.221075E-02,4.020250E-02,2.876384E+03,3.319324E+03,2.137291E-01,2.328536E-01,2.869855E+03,3.504571E+03,2.132441E-01,2.458643E-01
16:00:00,4.871285E+02,5.298386E+02,3.138097E-02,4.002075E-02,2.829924E+03,3.308246E+03,2.102757E-01,2.320769E-01,2.823472E+03,3.488611E+03,2.097963E-01,2.447447E-01
16:30:00,4.754057E+02,5.061668E+02,3.062552E-02,3.823256E-02,2.786777E+03,3.222241E+03,2.070686E-01,2.260427E-01,2.780395E+03,3.394614E+03,2.065945E-01,2.381490E-01
17:00:00,4.646816E+02,4.807445E+02,2.993443E-02,3.631128E-02,2.746571E+03,3.128668E+03,2.040802E-01,2.194744E-01,2.740254E+03,3.289880E+03,2.036108E-01,2.307970E-01
17:30:00,4.548300E+02,4.638781E+02,2.929956E-02,3.503568E-02,2.709000E+03,3.067006E+03,2.012876E-01,2.151394E-01,2.702743E+03,3.211741E+03,2.008227E-01,2.253054E-01
18:00:00,4.457472E+02,4.458754E+02,2.871423E-02,3.367424E-02,2.673808E+03,3.005929E+03,1.986718E-01,2.108427E-01,2.667606E+03,3.130948E+03,1.982111E-01,2.196248E-01
18:30:00,4.373473E+02,2.208741E+02,2.817290E-02,1.668076E-02,2.640776E+03,1.496630E+03,1.962166E-01,1.049738E-01,2.634625E+03,1.554332E+03,1.957597E-01,1.090274E-01
19:00:00,4.295581E+02,0.000000E+00,2.767092E-02,0.000000E+00,2.609717E+03,0.000000E+00,1.939081E-01,0.000000E+00,2.603614E+03,0.000000E+00,1.934547E-01,0.000000E+00
19:30:00,2.129040E+02,0.000000E+00,1.371462E-02,0.000000E+00,1.297329E+03,0.000000E+00,9.639442E-02,0.000000E+00,1.294290E+03,0.000000E+00,9.616859E-02,0.000000E+00
20:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
20:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
21:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
21:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
22:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
22:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
23:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
23:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
24:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
Peak,1.162584E+03,5.327240E+02,7.101078E-02,4.023821E-02,5.065652E+03,3.320725E+03,3.365251E-01,2.329486E-01,5.054933E+03,3.507149E+03,3.358273E-01,2.460422E-01

Peak Vol Flow (m3/s),,,6.101157E-02,3.457217E-02,,,2.891382E-01,2.001465E-01,,,2.885386E-01,2.113963E-01
